Open time,EMA50,EMA144,EMA200,Boll50,Boll144,Boll200,ROC50,ROC144,ROC200,CrxFM,CrxFS,CrxMS,Engolfo,FuCandle,Structure,StructTop,StructBottom,StructPD,VelaBull,ImbLow,ImbHigh,signal_BB,signal_rsi,MMS,Long,Short,Open,Close,Low,High,ATR
2017-01-10 20:00:00+03:00,1.05231,1.05338,1.05684,0.50332,0.22047,-0.14541,0.23814,-0.03796,-0.27083,-0.0010138912577936,-0.0042924555119676,-0.003278564254174,0,0,-1,1.06698,1.0366,0.616853,False,0.0,0.0,0,0,False,1,0,1.05607,1.05534,1.0553,1.05642,0.00392
2017-01-11 00:00:00+03:00,1.05244,1.05341,1.05683,0.55242,0.27199,-0.10262,0.23429,-0.01803,-0.26613,-0.0009187607149283,-0.0041581026170471,-0.0032393419021188,0,0,-1,1.06698,1.0366,0.631007,True,0.0,0.0,0,0,False,1,0,1.0553,1.05577,1.05493,1.05656,0.00376
2017-01-11 04:00:00+03:00,1.05254,1.05343,1.05681,0.3982,0.17952,-0.18142,0.23427,0.00285,-0.26707,-0.0008436498758223,-0.0040476235615295,-0.0032039736857071,0,0,-1,1.06698,1.0366,0.603687,False,0.0,0.0,0,0,False,1,0,1.05577,1.05494,1.05359,1.05603,0.00366
2017-01-11 08:00:00+03:00,1.05258,1.05343,1.05677,0.1501,0.00607,-0.32002,0.22949,0.01709,-0.26614,-0.0008068496791586,-0.0039772943007934,-0.0031704446216348,-1,0,-1,1.06698,1.0366,0.555629,False,1.05358,1.05359,0,0,False,0,1,1.05492,1.05348,1.053,1.05665,0.00366
2017-01-11 12:00:00+03:00,1.05252,1.0534,1.05672,-0.20856,-0.27634,-0.52926,0.21137,0.03134,-0.26615,-0.0008370827665585,-0.0039951677494841,-0.0031580849829256,-1,0,-1,1.06698,1.0366,0.482883,False,0.0,0.0,0,0,False,1,0,1.05349,1.05127,1.04937,1.05358,0.0037
2017-01-11 16:00:00+03:00,1.05265,1.05343,1.05671,0.52807,0.31134,-0.08845,0.19894,0.05224,-0.25957,-0.000738776283387,-0.0038454252699374,-0.0031066489865504,1,0,-1,1.06698,1.0366,0.631995,True,1.05358,1.05542,0,0,False,1,0,1.05127,1.0558,1.04534,1.05722,0.00429
2017-01-11 20:00:00+03:00,1.05287,1.0535,1.05673,0.88247,0.61785,0.14133,0.19509,0.07504,-0.25015,-0.0005953618477008,-0.0036477725906745,-0.0030524107429736,1,0,-1,1.06698,1.0366,0.710336,True,0.0,0.0,0,0,False,1,0,1.05582,1.05818,1.05542,1.06226,0.00447
2017-01-12 00:00:00+03:00,1.05308,1.05357,1.05674,0.86668,0.63364,0.15635,0.18837,0.0931,-0.24167,-0.0004629848348843,-0.0034582132564841,-0.0029952284215997,0,0,-1,1.06698,1.0366,0.715932,True,0.0,0.0,0,0,False,1,0,1.05818,1.05835,1.0571,1.05987,0.00435
2017-01-12 04:00:00+03:00,1.0534,1.05367,1.05678,1.23544,0.97771,0.41633,0.1826,0.11402,-0.22753,-0.0002544601204446,-0.0031854637300085,-0.0029310036095638,1,0,-1,1.06698,1.0366,0.805464,True,1.05987,1.06045,0,0,False,1,0,1.05834,1.06107,1.05823,1.06134,0.00426
2017-01-12 08:00:00+03:00,1.05382,1.05381,1.05686,1.59221,1.34856,0.69842,0.19205,0.13493,-0.20867,9.397966280158555e-06,-0.0028569817491494,-0.0028663797154295,1,0,-1,1.06698,1.0366,0.903884,True,1.06134,1.06194,1,0,False,1,0,1.06107,1.06406,1.06045,1.06642,0.00438
