Open time,Engolfo,FuCandle,Structure,StructTop,StructBottom,StructPD,VelaBull,ImbLow,ImbHigh,Long,Short,Close,Low,High,ATR
2021-03-03 04:00:00+03:00,0,0,-1,1.22432,1.19915,0.368296,False,0.0,0.0,0,0,1.20842,1.20826,1.20921,0.00295
2021-03-03 08:00:00+03:00,1,0,-1,1.22432,1.19915,0.437028,True,0.0,0.0,0,0,1.21015,1.2074,1.21132,0.00302
2021-03-03 12:00:00+03:00,-1,0,-1,1.22432,1.19915,0.250298,False,0.0,0.0,0,0,1.20545,1.20433,1.21033,0.00323
2021-03-03 16:00:00+03:00,0,0,-1,1.22432,1.19915,0.313071,True,0.0,0.0,0,0,1.20703,1.20429,1.20806,0.00327
2021-03-03 20:00:00+03:00,0,0,-1,1.22432,1.19915,0.282876,False,0.0,0.0,0,0,1.20627,1.20614,1.20785,0.00316
2021-03-04 00:00:00+03:00,0,0,-1,1.22432,1.19915,0.280095,False,0.0,0.0,0,0,1.2062,1.20434,1.20662,0.0031
2021-03-04 04:00:00+03:00,0,0,-1,1.22432,1.19915,0.257449,False,0.0,0.0,0,0,1.20563,1.20436,1.20632,0.00302
2021-03-04 08:00:00+03:00,-1,0,-1,1.22432,1.19915,0.16329,False,0.0,0.0,0,0,1.20326,1.20267,1.20623,0.00306
2021-03-04 12:00:00+03:00,0,0,-1,1.22432,1.19915,0.176003,True,0.0,0.0,0,0,1.20358,1.20276,1.20491,0.00299
2021-03-04 16:00:00+03:00,-1,0,-1,1.22432,1.19915,0.009932,False,1.2,1.20276,0,0,1.1994,1.19901,1.20536,0.00323
2021-03-04 20:00:00+03:00,-1,0,-1,1.21132,1.19616,0.051451,False,1.19767,1.19901,0,0,1.19694,1.19616,1.2,0.00327
2021-03-05 00:00:00+03:00,-1,0,-1,1.21132,1.1953,0.047441,False,0.0,0.0,0,0,1.19606,1.1953,1.19767,0.00321
2021-03-05 04:00:00+03:00,0,0,-1,1.21132,1.19515,0.050093,False,0.0,0.0,0,0,1.19596,1.19515,1.19647,0.00307
2021-03-05 08:00:00+03:00,-1,0,-1,1.21132,1.1914,0.069779,False,1.19433,1.19515,0,0,1.19279,1.1914,1.19607,0.00319
2021-03-05 12:00:00+03:00,0,0,-1,1.21132,1.18928,0.113884,False,0.0,0.0,0,0,1.19179,1.18928,1.19433,0.00332
2021-03-05 16:00:00+03:00,0,0,-1,1.21132,1.18928,0.086661,False,0.0,0.0,0,0,1.19119,1.19052,1.19463,0.00338
2021-03-05 20:00:00+03:00,0,0,-1,1.21132,1.18928,0.087114,True,0.0,0.0,0,0,1.1912,1.19052,1.19228,0.00326
2021-03-08 00:00:00+03:00,1,0,-1,1.21132,1.18928,0.156534,True,0.0,0.0,0,0,1.19273,1.19163,1.19321,0.00317
2021-03-08 04:00:00+03:00,-1,0,-1,1.21132,1.18928,0.088022,False,1.19146,1.19163,0,0,1.19122,1.18987,1.19285,0.00316
2021-03-08 08:00:00+03:00,-1,0,-1,1.19463,1.18654,0.081582,False,1.18806,1.18987,0,0,1.1872,1.18654,1.19146,0.00328
2021-03-08 12:00:00+03:00,0,0,-1,1.19463,1.18566,0.15942,False,0.0,0.0,0,0,1.18709,1.18566,1.18806,0.00322
2021-03-08 16:00:00+03:00,-1,0,-1,1.19463,1.18457,0.107356,False,0.0,0.0,0,0,1.18565,1.18457,1.18872,0.00329
2021-03-08 20:00:00+03:00,0,0,-1,1.19463,1.18442,0.01763,False,0.0,0.0,0,0,1.1846,1.18442,1.18648,0.0032
2021-03-09 00:00:00+03:00,-1,0,-1,1.19463,1.18356,0.025294,False,0.0,0.0,0,0,1.18384,1.18356,1.18527,0.00309
2021-03-09 04:00:00+03:00,1,0,-1,1.19463,1.18356,0.165312,True,0.0,0.0,0,0,1.18539,1.18381,1.18672,0.00308
2021-03-09 08:00:00+03:00,1,0,-1,1.19463,1.18356,0.62963,True,1.18672,1.18823,0,0,1.19053,1.18512,1.19089,0.00327
2021-03-09 12:00:00+03:00,0,0,-1,1.19463,1.18356,0.507678,False,0.0,0.0,0,0,1.18918,1.18823,1.19157,0.00328
2021-03-09 16:00:00+03:00,0,0,-1,1.19463,1.18356,0.458898,False,0.0,0.0,0,0,1.18864,1.18815,1.19091,0.00324
2021-03-09 20:00:00+03:00,0,0,-1,1.19463,1.18356,0.582656,True,0.0,0.0,0,0,1.19001,1.18848,1.1905,0.00315
2021-03-10 00:00:00+03:00,0,0,-1,1.19463,1.18356,0.447154,False,0.0,0.0,0,0,1.18851,1.1884,1.19024,0.00306
2021-03-10 04:00:00+03:00,-1,0,-1,1.19463,1.18356,0.35682,False,0.0,0.0,0,0,1.18751,1.18705,1.18856,0.00295
2021-03-10 08:00:00+03:00,1,0,-1,1.19463,1.18356,0.579042,True,0.0,0.0,0,0,1.18997,1.18687,1.19014,0.00297
2021-03-10 12:00:00+03:00,1,0,-1,1.19463,1.18356,0.677507,True,0.0,0.0,0,0,1.19106,1.18819,1.19129,0.00298
2021-03-10 16:00:00+03:00,0,0,-1,1.19463,1.18356,0.654923,False,0.0,0.0,0,0,1.19081,1.18861,1.19248,0.00304
2021-03-10 20:00:00+03:00,1,0,-1,1.19463,1.18356,0.838302,True,0.0,0.0,0,0,1.19284,1.19014,1.19298,0.00303
